Stock Ticker,Date,Price,Change
META,2023-03-07,185.787003,0.0
META,2023-03-14,193.520004,0.04162293850017055
META,2023-03-21,200.769897,0.037463274339328695
META,2023-03-28,199.494995,-0.0063500655180392775
META,2023-04-04,213.714996,0.0712799887536027
META,2023-04-11,214.410004,0.003252031972524628
META,2023-04-18,217.820007,0.015904122645322174
META,2023-04-25,208.770004,-0.04154807964908386
META,2023-05-02,240.617996,0.1525506125870458
META,2023-05-09,234.970001,-0.023472870250319966
META,2023-05-16,238.059998,0.013150602148569642
META,2023-05-23,249.450607,0.04784763965258869
META,2023-05-30,264.160004,0.05896717260744138
META,2023-06-06,274.049988,0.037439369511820454
META,2023-06-13,271.702789,-0.008564857152994983
META,2023-06-20,282.480103,0.039665820287181484
META,2023-06-27,286.957886,0.015851675755017648
META,2023-07-11,297.869995,0.038026865726213374
META,2023-07-18,312.799988,0.050122514018237946
META,2023-07-25,295.769989,-0.0544437329070485
META,2023-08-01,322.758698,0.09124897725847354
META,2023-08-08,312.825409,-0.030776208546980825
META,2023-08-15,303.649994,-0.02933078559484913
META,2023-08-22,289.079987,-0.04798289902156223
META,2023-08-29,296.785004,0.026653581522404032
META,2023-09-05,300.060791,0.011037575874285008
META,2023-09-12,303.200012,0.010461950025320105
META,2023-09-19,303.700012,0.0016490764518835176
META,2023-09-26,297.839996,-0.019295409181610535
META,2023-10-03,300.095001,0.007571196045812597
META,2023-10-10,321.769989,0.07222708784809109
META,2023-10-17,323.13501,0.00424222595849364
META,2023-10-24,312.75,-0.03213830033458777
META,2023-10-31,300.070007,-0.04054354276578745
META,2023-11-07,320.160004,0.06695103319673013
META,2023-11-14,336.459991,0.05091200273723131
META,2023-11-21,338.939789,0.007370261149415583
META,2023-11-28,335.755005,-0.009396311980356004
META,2023-12-05,316.345001,-0.05781002132790235
META,2023-12-12,330.380005,0.04436613177269698
META,2023-12-19,350.429993,0.06068765571935881
META,2023-12-26,354.36499,0.011229053102198227
NFLX,2023-03-07,310.674896,0.0
NFLX,2023-03-14,294.940002,-0.05064745881495362
NFLX,2023-03-21,305.769989,0.03671928841988689
NFLX,2023-03-28,324.190002,0.060241402566162186
NFLX,2023-04-04,346.029999,0.06736789186978068
NFLX,2023-04-11,340.570007,-0.01577895562748593
NFLX,2023-04-18,332.859985,-0.0226385819112955
NFLX,2023-04-25,322.914795,-0.029877998101814397
NFLX,2023-05-02,319.380005,-0.010946509898996865
NFLX,2023-05-09,334.269989,0.04662152848297447
NFLX,2023-05-16,332.62619,-0.00491757876594779
NFLX,2023-05-23,355.934998,0.07007508338414362
NFLX,2023-05-30,391.839996,0.10087515473822548
NFLX,2023-06-06,397.734985,0.015044377960845044
NFLX,2023-06-13,432.529999,0.0874829102599561
NFLX,2023-06-20,434.285004,0.004057533590866699
NFLX,2023-06-27,418.910004,-0.03540301842888409
NFLX,2023-07-11,437.75,0.04497385075578186
NFLX,2023-07-18,462.549988,0.056653313535122755
NFLX,2023-07-25,429.709991,-0.07099772533125649
NFLX,2023-08-01,440.279999,0.024598003819743565
NFLX,2023-08-08,437.019989,-0.0074044017611619144
NFLX,2023-08-15,427.684998,-0.02136055840686043
NFLX,2023-08-22,412.359985,-0.03583247734118561
NFLX,2023-08-29,426.730011,0.03484825522049623
