Stock 1,Stock 2,Covariance
AMD,HII,0.0028405398496338477
AMTM,RJF,0.0028403926568553737
HII,REGN,0.002840290889280057
CRM,INCY,0.0028394248566216388
CMG,EPAM,0.0028375504103165974
IEX,PAYC,0.002834690472150736
CRL,NCLH,0.0028341953079654043
ADBE,CVS,0.002833979185707414
CPAY,FICO,0.0028333575402241275
CVS,VST,0.002832916812044715
CI,DFS,0.0028320028173157933
EPAM,PYPL,0.0028315115626129776
AMTM,MAS,0.002831463836279917
GRMN,TECH,0.0028314000417252504
ELV,GPC,0.0028304420039884683
POOL,SMCI,0.0028293718009804714
HUM,SCHW,0.0028290625122815334
AXON,LYV,0.002827891316526645
ADBE,LDOS,0.0028275976159697555
NUE,TRMB,0.002827369222419421
AXON,KMI,0.002822612403832485
FTNT,KKR,0.0028208406395075214
EPAM,MAR,0.0028203474171116455
CVS,GPC,0.00281875185115058
HIG,TPL,0.00281779862780956
INCY,JBHT,0.002816281779926207
LDOS,LLY,0.00281479180954657
DE,ENPH,0.0028137228625763977
EPAM,NSC,0.0028128190872757737
SYF,TRMB,0.0028118678802660506
DAY,SW,0.0028113071431763535
HUM,URI,0.0028111172969150517
LDOS,TECH,0.0028102096194813704
AMTM,PAYC,0.002808498259255694
CRL,JBHT,0.0028066153635841087
CI,PNC,0.0028062611684130977
HII,TFX,0.0028054446492923523
LNT,SMCI,0.002804721614704196
EQT,VST,0.002804594852719236
FICO,SYF,0.002801355568871713
FTNT,ORCL,0.0028006647241465947
BAC,EPAM,0.0028006489217619226
AXON,TSN,0.002800567233808228
INCY,TPL,0.002800027430308271
CRL,HBAN,0.00279718626733281
EPAM,GWW,0.0027970840306901484
INTU,TRMB,0.002795809953496901
COF,TPL,0.0027956872588780803
SYF,TPL,0.0027953418274158518
MOH,TECH,0.0027926697928057475
ENPH,MCHP,0.0027920993338089208
CE,UBER,0.002791327872741311
PNC,TPL,0.00278971887795882
APA,ENPH,0.002789614722792698
PRU,SMCI,0.0027856447141631903
MRNA,ULTA,0.002783153348722614
AXON,FITB,0.0027817970919967938
DFS,ODFL,0.0027790385432227187
EPAM,MS,0.0027776874641045413
AXON,TRGP,0.0027772129697864398
CEG,VST,0.0027765087409670854
GPC,NUE,0.002776145795454618
AMTM,FICO,0.0027759320421602354
FTNT,MS,0.002773827211959134
PSX,SMCI,0.002773771508061375
SMCI,T,0.002772174065794132
ADBE,STLD,0.0027718000069130097
CCL,NCLH,0.0027709302905911805
FTNT,HPE,0.00277066162202672
FMC,MRNA,0.002770343638861583
DFS,LDOS,0.002769308842753244
ALL,EPAM,0.0027690602984061868
FTNT,SLB,0.0027690113580104807
SLB,TPL,0.0027681859812392854
PODD,TRMB,0.0027668630878739005
AMTM,LH,0.00276628936183744
FICO,HBAN,0.0027650411294632637
EL,LVS,0.002763262639348143
HBAN,TPL,0.0027630984046242806
AMTM,HBAN,0.0027624690467614008
HII,TRMB,0.002760651194400084
JBHT,LDOS,0.002759898887511573
CTSH,FTNT,0.002757269564773128
CI,NCLH,0.0027566143297925697
ELV,MOH,0.0027553043604166255
MOH,ON,0.002754449994831908
BLDR,WAT,0.0027543593616592096
MCK,UNH,0.002752879039934609
AXON,PYPL,0.0027525879564854706
AXON,STLD,0.0027515623971384544
AMTM,TDY,0.0027513698746173846
INCY,RVTY,0.0027503699590234465
ODFL,TRMB,0.002749482719748217
CRL,GPC,0.0027466357429739097
FICO,NUE,0.0027462899424697752
GS,MCK,0.0027448588381816554
AMTM,WM,0.002741266674165981
MOH,WST,0.002740875721594627
AMCR,AMTM,0.002740833276163479
EPAM,GDDY,0.0027402535341776164
TPL,UAL,0.0027398214717388944
CPB,SMCI,0.002738439868310915
MCHP,MRNA,0.0027373359734122306
EPAM,RJF,0.002737052765094777
AMTM,KEY,0.0027369477717351745
FTNT,UNH,0.00273631041475824
HUM,ODFL,0.002735285316672388
NUE,URI,0.0027335757375651277
MCK,PNC,0.00273220923265105
RF,TPL,0.0027312786358677354
EL,ENPH,0.0027310591755941856
EPAM,KMX,0.002730142018433207
CRM,HII,0.00272894767374676
AXON,TFC,0.0027281742107838447
HBAN,MCK,0.0027267080480310596
EQT,TRMB,0.002724887545523288
LDOS,WAT,0.002723959217572045
MCK,WFC,0.0027236619030256756
AXON,IT,0.002722798806199007
AVGO,ERIE,0.0027220101897732912
AMTM,DRI,0.002720854766851486
AMTM,MNST,0.002720821350596725
GNRC,WAT,0.0027187446131042327
INCY,OMC,0.0027146293097499727
DVA,NUE,0.0027137119489359773
APTV,NXPI,0.002711216172886064
CI,HAL,0.0027102576828628307
MTD,TECH,0.0027094242160547364
GS,TPL,0.002706686198348191
ABBV,FMC,0.00270492239756949
CEG,HII,0.0027047005445507413
COF,TRMB,0.002703935204266609
LDOS,PARA,0.0027032341774299016
AXON,PSX,0.0027015009917550825
DVA,TPL,0.0026986193196995075
ENPH,FCX,0.002696025861810017
GS,TRMB,0.0026948896145330145
AMTM,JNPR,0.002693544516301317
EQT,FICO,0.002693112001962818
CDW,MPWR,0.002691290933853135
COF,DFS,0.0026911595587989696
AXON,C,0.00268917599827353
FTNT,NCLH,0.0026891005762378272
CDW,LLY,0.002688555932192641
SMCI,ZTS,0.0026869204374309562
AXON,NSC,0.002686771133886247
APTV,REGN,0.002683303551532604
EPAM,PCAR,0.0026832413523695513
APTV,MGM,0.002679672699099481
AMTM,GEN,0.002677217249002757
GWW,TPL,0.0026770020691993957
EQT,MCK,0.0026760624751393024
COF,FICO,0.0026749969618104392
AXON,HIG,0.002672374532686154
